timestamp,symbol,address,market_cap,volume_24h,liquidity_usd,holders_count,age_hours,buys_24h,sells_24h,exchange_rate
2026-09-21 17:05:23.354847+00:00,HOOKR,0x18E674231A58c239Dc7DaeDcffE15Ec3A24cff5c,12340957.391789485,2265494.7615576056,848753.91,7783,1116.7643741019444,1139,1166,0.01237781
2026-09-21 17:05:23.354847+00:00,MOO,0xD9dB30BB0D2b8d2eae3826A1372117E058791e18,13853739.181084236,2239796.9294661665,1220451.87,9562,1510.5297214975,206,395,0.01401124
2026-09-21 17:05:23.354847+00:00,GLD,0xC9a981FEE1F9DEc688bb123ccDeCc63D0deBFC4e,8513164.217673264,8451557.907795966,3783215.01,36277,744.9970033475,811,696,398.97
2026-09-21 17:05:23.354847+00:00,AAPL,0xaF3D76f1834A1d425780943C99Ea8A608f8a93f9,5536023.824037407,8273717.874621373,1032671.18,80214,256.2229162338889,1642,1787,338.53
2026-09-21 17:05:23.354847+00:00,GOOGL,0x2e0847E8910a9732eB3fb1bb4b70a580ADAD4FE3,5529790.550741629,5907520.786393416,1294062.13,67640,1747.0338288830555,3440,3421,356.26
2026-09-21 17:05:23.354847+00:00,MUSEBOOK,0x91A2DAe9699f0B82540B5886b0d8759C22820bA3,5920924.489752637,4529051.981605087,972601.52,8031,131.2608518461111,2989,4624,5.921e-05
2026-09-21 17:05:23.354847+00:00,GME,0x1b0E319c6A659F002271B69dB8A7df2F911c153E,3414248.1518393126,13329285.187016329,1057164.72,56161,2112.630684556111,4736,5591,22.94
2026-09-21 17:05:23.354847+00:00,META,0xc0D6457C16Cc70d6790Dd43521C899C87ce02f35,4857917.076264984,12665213.960067255,2772356.89,42487,1732.8010426802778,2845,1827,728.19
2026-09-21 17:05:23.354847+00:00,AMC,0x05a3d1Cd21d0C88145E82600E62e7E496e0F222B,3393900.897739429,5360081.760454556,2110455.38,11177,428.6130802230556,765,648,2.8
2026-09-21 17:05:23.354847+00:00,MSTR,0xec262a75e413fAfD0dF80480274532C79D42da09,3233603.262408271,4435579.952847063,1356549.32,12478,660.2498402758333,1907,1868,166.32
2026-09-21 17:05:23.354847+00:00,USO,0xa30FA36Db767ad9eD3f7a60fC79526fB4d56D344,2802912.179186302,4321918.951473204,1682375.26,11719,1591.3624199027777,602,800,147.68
2026-09-21 21:06:26.012087+00:00,DELTA,0xe8ffd7e24187F72afB08d75B1bb13088A989a791,25885057.848938607,9208739.331051134,1694581.14,16932,1246.1298877402778,3523,4211,0.02845892
2026-09-21 21:06:26.012087+00:00,AMC,0x385F4f8ae47651ce5F58F5265395a669f8281e18,28394883.53047029,4644477.364592633,2006061.75,30989,432.6205381641667,999,906,0.02836692
2026-09-21 21:06:26.012087+00:00,PIPEDOG,0x5Cb6F181081301b44905F3ae15419112ecaBd8A6,29590510.39039577,2736744.566518559,9380045.49,8667,1320.5910197697224,367,265,0.00239588
2026-09-21 21:06:26.012087+00:00,SPY,0x117cc2133c37B721F49dE2A7a74833232B3B4C0C,22732862.97648669,50570999.042024605,7786752.3,70812,1669.647217315278,7112,4397,774.29
2026-09-21 21:06:26.012087+00:00,STANDARD,0x88ad8DdF1E3898412146a534538d418c6F8A9062,21003120.328429483,1742011.9640652377,13451837.56,5665,164.11423750583336,363,423,0.229125
2026-09-21 21:06:26.012087+00:00,NVDA,0xd0601CE157Db5bdC3162BbaC2a2C8aF5320D9EEC,19313335.476660963,42877979.961769134,6098500.79,176755,1498.0877852794445,24526,23737,227.17
2026-09-21 21:06:26.012087+00:00,MUSEBOOK,0x91A2DAe9699f0B82540B5886b0d8759C22820bA3,15950934.216670068,15280312.457824131,1578614.63,8602,135.26954900027778,4343,6663,0.00015955
