date,wallet,account_value,day_pnl,day_roi,week_pnl,week_roi,month_pnl,month_roi,month_volume
2026-09-09,0xf9faba57a81d1575d3e506dd3eafe7db6f2a3275,732438.820436,78996.77853,0.1256265085,394841.505302,1.1359164416,541247.555373,2.5628403254,87334285.87
2026-09-09,0x3b9e9c9f82eb1c321535fd2bc48d8db9e8e8c503,370267.982231,0.0,0.0,111476.66514,0.7062815047,344735.059678,2.7907718373,24843250.4
2026-09-09,0xc786b3302e681745813f8011e816336bb5baeb75,636805.732377,143496.359372,0.2908851265,404691.96875,1.6310742412,451500.962377,2.2428726472,37404662.15
2026-09-09,0xd580b86a5db87c623763b058f3a12853bf30acb8,263309.636765,69286.320818,0.3571030651,173466.961684,1.9307858045,177272.927153,2.0604335981,2663310.82
2026-09-09,0x9b864dde6ed1c21608b1665a0ac0faa4f7e36e6e,2554989.649347,361848.329609,0.2306122689,1677334.164227,1.1107428376,2287170.968633,2.4853409713,12448266.15
2026-09-09,0xe6e0e0dd371e4f9bd5218ab4bc0634d59705ae71,3658268.90391,755875.815568,0.2604319238,1304663.900785,0.5530548794,2688895.835691,2.7584600092,83200694.24
2026-09-09,0xa2ce501d9c0c5e23d34272f84402cfb7835b3126,16700317.139982,1287975.174572,0.0835677782,3346905.17509,0.50906026,15902285.365834,2.7427035722,44740245.96
2026-09-09,0xe46aae69cf2607b68c03ecdf6d94e776287e73b0,439968.112434,45079.965785,0.1141588224,173964.427445,0.653992547,535773.568443,2.6238388057,1345744.6
2026-09-09,0xac1b1cc2fee62d8dc215821a7afc1d8594ff2f92,1251174.797355,257432.029915,0.2590529847,640234.200359,1.0406241127,882513.138204,2.3662301916,84149831.25
2026-09-09,0x783ee3148b797b6174e8204f8f224e25b8836682,2559474.637839,259301.541317,0.1127166849,429086.672492,0.2013842289,1885356.502259,2.7955345571,1492014.36
2026-09-09,0x5b676c5b03f38557e6f21257732608d019cec66a,574002.612551,139885.510336,0.3222298998,602899.613096,1.6030172957,668543.403323,2.0009707694,41079159.6
2026-09-09,0xaeaab54bbf65bfd6efed7d2eb68372298e3c2416,4839032.36812,837673.298451,0.2078924424,3390839.229837,2.2970159811,3303066.017963,1.6590263748,270677449.58
2026-09-09,0x466669f8f1e45c216517244775c932b70327df9e,595512.955688,26761.788471,0.0400175578,526704.202837,1.9593939478,514711.895688,1.8330061243,6215855.59
2026-09-09,0x03ba951f72e59899ac8dab30cb5624dbe5d52bb8,542655.432815,30353.449654,0.07361946,154420.628908,0.2944081099,492328.152815,2.6383492157,11128175.75
2026-09-09,0x37e5ee046fb8e9a41e0bf35d2d37fd6f64fdff10,890850.223586,88790.307445,0.1095014141,167723.415945,0.2291532626,667562.981473,2.6481426663,1250467.28
2026-09-09,0x9386b9538884d849943d77f1c5412de9e72b021f,1198640.270497,194913.537441,0.1941704988,344652.726129,0.4035332542,863973.125762,2.5428389388,58744951.92
2026-09-09,0x9546b9d4103be41ce13483a8f299d0df0eeb181c,4457610.158212,1265539.244292,0.3964633864,1824698.481707,0.4711523685,4606926.015387,2.4687192432,4142002315.51
2026-09-09,0x8be0b9c4dbfb90f47fb94e8968dce08d3152326c,728590.738677,130183.768119,0.2277445548,42560.902643,0.0645600949,527973.194264,2.6978348478,58423466.27
2026-09-09,0x5aa13316231716ea438eb243feabc296a9094b2b,1889796.594123,172586.226666,0.1005038346,934390.803837,0.9780041249,1308084.428932,2.2486798579,35465859.04
2026-09-09,0x4b85bf981916936249a62b7e77f30e567997a395,548072.553911,98437.906974,0.2187340634,363967.170596,1.9726576049,401394.485045,1.7241619444,7266234.48
2026-09-09,0xb34519875ef21a74a3a5025b40b96288d1717f20,687393.333384,46062.679016,0.0718236041,64958.647353,0.1043621906,494472.018664,2.56307614,3584070.92
2026-09-09,0x666073af75b8d2e6e9efea414db566494e61aafe,10189532.701979,993724.787374,0.1080628039,1687616.57113,0.1984983791,7284239.006264,2.5072298257,8930942.74
2026-09-09,0x3a7f29e8d0e3f8131670c3849ae37860512b62df,288812.332694,52254.373328,0.2206148084,163414.493041,1.3000580876,189581.728785,1.9047581481,2341103.97
2026-09-09,0xdfaf7cd4ab0fc1d7f5ccf3216769f26bcd041a61,342228.946573,16421.073643,0.0902298811,19326.934076,0.0598353364,259044.740746,2.532597664,2172611.32
2026-09-09,0x926a8a1bc7fa22e2fdd4459c443158aa38adaf36,1037660.930522,48568.989589,0.0491046257,224271.102963,0.2757240076,504580.050479,2.394403955,31017718.71
2026-09-09,0x47818abc02d61af1e586d3ceb035591aeae4548f,680643.147681,111382.549065,0.2047272292,343736.687508,1.1027830626,447847.124757,1.9237748099,5325091.11
2026-09-09,0x5371c4517b448006941ae335e5cafd54af573c11,2025678.901469,353268.144931,0.2112328826,968228.048723,0.9156246328,1351133.235497,2.0030270798,5241917.92
2026-09-09,0x5740affc8faf8913f9f2d5fbb9bdc6e8119ea9da,2409778.78149,76638.1014,0.0328476127,244664.311761,0.4203841185,884368.94341,2.2757148986,3458331.47
2026-09-09,0xe639710e64d7094f7f82ab495915559c2f612953,2716681.247583,515149.780613,0.2339961015,1183474.123145,0.7718944846,1828123.031003,2.0574037771,291863842.3
2026-09-09,0x29c792a175627a15c60f5288e55d1cf7d95f2157,308141.217543,25108.151071,0.0886800757,42917.183055,0.150415607,231353.125555,2.3878336886,1009097.0
2026-09-09,0xdff720130481e2ded32a0fa06bec909b9498e625,293243.435475,26844.704496,0.1007688903,156687.704851,1.1474267988,164684.749362,1.8786325158,7582075.56
2026-09-09,0xd2944617c67d7fe84b623c72341187ac89d79bd3,284583.555837,52330.638081,0.2253174625,146804.964972,1.065513619,186240.141484,1.8937733931,3068334.0700000003
2026-09-09,0x4025d75db7a13e25dc6305ac00cc1c849f26b7c9,493799.463846,102025.111765,0.2604180473,219990.024899,0.8034420791,509171.579512,2.008704943,269543377.22
2026-09-09,0xe2823659be02e0f48a4660e4da008b5e1abfdf29,2779660.330967,221162.000024,0.4431379518,1092516.569695,0.6437383766,7025053.332092,2.0573530424,36664105.16
2026-09-09,0x9c6a5b4662c722d2c47f43d6c9813cb080ffa4ed,21527998.857513,1012663.47971,0.2361688961,3460962.414085,1.8813879515,12816278.613118,1.4711536015,44579167.7
2026-09-09,0x2e2b6070bec9be9f50887cfe306ac6ca93002fab,3001161.469898,285370.01074,0.1050780279,737671.366632,0.2225871553,2829860.151425,2.3159696684,3897138.64
2026-09-09,0x1e08253f267b5e985859b5cf469972326f191584,729352.802997,34556.291413,0.0497358447,133642.244326,0.2243409024,508305.520997,2.2995330067,31145573.76
2026-09-09,0x30afce2f6842bf183c7e3fe7162e279ff0b6393e,7797076.801582,1860007.703477,0.3132871915,4934722.691659,2.5077678111,3560043.346678,1.0960191832,181023708.6
2026-09-09,0xab59fb979ae9042ae23bfbe5bd1eb89b7f5659b5,921521.876758,114600.528054,0.1420219309,381412.777603,0.6150665554,673924.031228,2.0571236681,32599685.42
2026-09-09,0xcf0afa96743819d52515bff99635a7978f2a856f,309477.077393,60665.638167,0.2438217405,143192.853799,0.8611331292,203418.948328,1.9160029658,1104449.76
2026-09-09,0xb40da15b8cc492fff87d9b1e06bb45769d7e75d9,1665486.307419,146538.22466,0.0958199623,494396.470638,0.4074740874,1167983.006067,2.1639995012,36621586.96
2026-09-09,0x2ab7c8c121bba1b6b744664237ae00ded55ec2f8,1294063.263899,187625.977027,0.1695766938,837554.112242,1.6578508537,802713.678243,1.5167374105,7251510.23
2026-09-09,0xd5d29dbf880eea93d4ed2ccb79c642bde0a48480,683668.686873,91116.678506,0.153769926,223829.299337,0.4867553877,462502.990659,2.091205818,14932533.1
2026-09-09,0x736850ee773ac6170fcaeda596514269b863ee56,359325.375526,21022.69249,0.0621416665,82792.679184,0.299395624,384105.679205,2.1921250587,15310810.06
2026-09-09,0x3c66b4d46004afaf5a8a1ab7399c1f5aff89eab6,1254313.963057,63212.621053,0.0530707328,358131.441661,0.3996188646,858302.696862,2.1422014044,99223254.19
2026-09-09,0xcf67e4da9e9cd38c0afd26338d0fbddb3036eb24,1959412.39382,463419.839343,0.3084981176,1100191.106549,3.3011313107,776002.534828,0.6391920002,37437558.94
2026-09-09,0xb37f083bad343a76361cd8f39afe7ecd6a0a66ca,6751515.115183,1036841.386109,0.1814349227,4325398.384824,1.7828484222,3931409.603483,1.394064721,161088228.26
2026-09-09,0x04febde8d852931b73fd81c09904bb29d3a0e964,948734.894564,95548.65325,0.1119903822,328670.49456,0.5300586432,669272.954778,2.0313750564,4188506.44
2026-09-09,0xc2d3a0c560b91a363c6954cba05cc1ac0e9c91e1,368667.471478,32897.958731,0.0979486303,109991.040591,0.4250427298,255864.809764,2.0818492146,3202045.57
2026-09-09,0x9137bd9347f07990a8ce22869f8b93d190479c5a,3049192.394355,-308044.366718,-0.0917553299,-112306.075898,-0.0355230524,2137269.724365,2.3436962307,98876374.51
2026-09-09,0x3d0acf9d5e0175444e389ba6a16b6b83f1933df5,344375.211484,50499.774098,0.1717827879,146722.194342,0.7419498704,226081.076323,1.9095768576,7710930.21
2026-09-09,0x09d0dbed3ef5cb17eb60097b1baf31d9916a1a52,747283.115177,86470.229424,0.1308763124,390774.007283,1.0964535823,474100.709946,1.735473079,1008712.11
2026-09-09,0x704c8c855765b4c053cc2dc02b3f318caf2ab732,556138.187518,62518.510336,0.1266531972,159418.949817,0.3872030627,486190.429454,2.0693554749,97335235.06
2026-09-09,0xd58c2f5be892836b38241ba554078928a78a2d11,271647.872652,23681.933943,0.0955047861,32121.075953,0.1341022232,120116.544883,2.1883021783,79516752.38
2026-09-09,0x0ff911dc09dbb3006f25ee71093d0fe4fd82a44d,390597.841289,45970.68463,0.1333925193,233309.032486,1.4833161638,236508.86687,1.5022256575,13643016.88
2026-09-09,0x874226b22939904f436ff0434e1fd0ab257c8427,786145.486733,229591.36064,0.4125229692,444549.85095,1.3013920682,476598.747603,1.5396665103,39201226.79
2026-09-09,0x2e32935bfd5b2718f99bc8fdf8b37c16811f7d97,1436411.305819,137530.833279,0.0977882729,448497.276287,0.402122738,1217883.25899,2.0332953047,27288051.16
2026-09-09,0x31b1ecf848443472e34d204a134812d86ab01434,18149935.468476,1261816.037943,0.2632189633,3846157.652817,1.7407785115,10376975.873686,1.335009625,29180751.88
2026-09-09,0x93ab7dbdeb996806454de19c35c8247f4b2511f8,10244289.480276,453376.756855,0.1370478384,1023031.332852,0.3735722935,4932205.198083,2.0338327769,55539966.2
2026-09-09,0x54a7240cea67b8c41b7c7f2b485360f37331aef4,364102.257464,36316.076152,0.1107581784,129984.662464,0.4260129714,310353.015374,1.9845708942,4668343.58
2026-09-09,0x7c36686e7acf3906932032b546c686d6bcc813fb,286465.985156,78636.267611,0.3451536896,128295.431203,0.7200709004,247249.863939,1.7921055099,1063524.15
2026-09-09,0x9b220c39d91cabb77132d1e7a4f30c6501aa3aaa,396108.434785,27148.760119,0.0735819169,181029.229153,0.8416863389,253269.553598,1.7731135353,16224349.58
2026-09-09,0xe92845ebfde7092cf5d6253eeb73dc1c3f48d902,353169.697639,5694.047737,0.0163868971,209267.488773,1.4542340276,209873.837237,1.4646189824,2428158.4
2026-09-09,0x6dc903ab5fe0d286cbef6c5042dd2684b7fd78d7,1232071.870627,110400.380598,0.0984248789,176054.801821,0.1667158676,832826.449739,2.0860012568,7695224.04
2026-09-09,0x5875d72130981b18692a3d29545e4038f7eb0c38,627125.927904,-96826.423633,-0.1337469565,669609.155592,1.8729447328,574235.863965,1.2679365473,44502122.17
2026-09-09,0x121acb29e168cc9e97dbd7b280ee8baf2cb34c6e,283679.140581,35619.989341,0.1435947401,263818.421799,0.9755035587,409002.672669,1.6580921813,3219941.38
